Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
201,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,40.99851865453118,59.00148134546882
202,Once Upon a Time... In Hollywood,374343626,142502728,231840898,2019.csv,2019,38.06735793065166,61.93264206934834
203,The Adventures of Tintin,373993951,77591831,296402120,2011.csv,2011,20.746814431766037,79.25318556823396
204,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014,22.44910421028951,77.5508957897105
205,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,26.992420431298125,73.00757956870187
206,Captain America: The First Avenger,370569774,176654505,193915269,2011.csv,2011,47.67105074252494,52.32894925747505
207,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014,27.04321162013873,72.95678837986127
208,Gone Girl,369330363,167767189,201563174,2014.csv,2014,45.42469447604014,54.57530552395986
209,Shazam!,365971656,140371656,225600000,2019.csv,2019,38.35588185550632,61.64411814449369
210,The Nun,365550119,117450119,248100000,2018.csv,2018,32.129689718415875,67.87031028158412
211,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014,31.3175025973994,68.6824974026006
212,The Hangover Part III,362000072,112200072,249800000,2013.csv,2013,30.99448886297459,69.00551113702541
213,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.1952410662986298,99.80475893370136
214,Noah,359200044,101200044,258000000,2014.csv,2014,28.173728174710355,71.82627182528964
215,The Karate Kid,359126022,176591618,182534404,2010.csv,2010,49.17260437340294,50.82739562659706
216,Hotel Transylvania,358375603,148313048,210062555,2012.csv,2012,41.38480598524448,58.615194014755524
217,Your Name.,357986087,5017246,352968841,2016.csv,2016,1.4015198305737508,98.59848016942625
218,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,35.50404660794887,64.49595339205113
219,Tenet,353700000,56300000,297400000,2020.csv,2020,15.917444161718972,84.08255583828102
220,The Great Gatsby,353641895,144840419,208801476,2013.csv,2013,40.9568043401645,59.04319565983549
221,Dumbo,353284621,114766307,238518314,2019.csv,2019,32.485508900768146,67.51449109923186
222,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017,29.146687289106545,70.85331271089346
223,X-Men: First Class,352616690,146408305,206208385,2011.csv,2011,41.52052615546927,58.47947384453073
224,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016,30.513486539640073,69.48651346035993
225,Now You See Me,351723989,117723989,234000000,2013.csv,2013,33.47056006464205,66.52943993535794
226,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,32.810827671655154,67.18917232834485
